sample_id,caption,concreteness_annotation,icc_score
2324140000000.0,"Celebrating 20 years, EGEC shares declaration on the great role of geothermal energy",1,0.0155464746057987
2181740000000.0,"summer fashion scarvesnew scarf trendswhite by scarvesCHIC on Etsy, $15.90",1,0.0235476084053516
2834230000000.0,change my background how to change desktop background in windows 10,1,0.0236632209271192
1440160000000.0,"We only supply the tire. If there is a rim shown in the picture, it is for display purposes only. The picture serves only for representation purposes.",0,0.0172963496297597
2013300000000.0,Colorful streamers hanging from the ceiling.,3,0.8641681671142578
881004000000.0,"The logo of German carmaker BMW is seen on a car displayed during the annual results press conference in Munich, southern Germany, on March 19, 2013. German top-of-the-range carmaker BMW said today it is 'cautiously optimistic' for business in 2013 after achieving the best year in the company's history last year. STACHE",1,0.0325929634273052
3858680000000.0,A spotted harrier cruising to look for food,3,0.9069790840148926
1045000000000.0,creative eyelashes - closeup of the eye of woman with...,2,0.2679037749767303
72972011083.0,2013 men's the novelty original t-shirt with patterns Double-headed eagle and RUSSIA sizel xl xxl xxxl 4xl shirts free shipping,1,0.0205955225974321
3466280000000.0,Novak Djokovic (Ser) defeated Juan Martin Del Potro (Arg) in US Open final<br /> Flushing Meadows 09-09-2018 US Open<br /> Tennis Grande Slam 2018 Finale Uomini - Men's Final <br /> Foto Couvercelle /Panoramic / Insidefoto <br /> ITALY ONLY,1,0.005611527711153
3693150000000.0,"Sanusi under house arrest, moved to a 2-bedroom apartment without electricity & access roads (Photos",1,0.0330206044018268
3660010000000.0,a stack of miso chocolate chip cookies on a white plate,3,0.9560190439224244
209346000000.0,"MAJESTIC PET PRODUCTS - Santorini Chevron Round Pet Bed - pet bed looks great in any room of your house and is filled with ultra-plush fiberfill for luxurious napping. The removable zippered slipcover is made from outdoor-treated, UV-protected polyester for durability, and the base is made from heavy-duty waterproof 300/600 denier fabric that can go inside or out. Spot clean the slipcover and hang dry. Comes in a variety of colors and patterns, so you can pick the one that complements your decor.",1,0.0318205095827579
3689810000000.0,Simply Perfect Braided Wedges,2,0.2090942859649658
3174410000000.0,Bobcat in a hollow log,3,0.6979160904884338
3985200000000.0,Travertine is a perfect partner2,0,0.0139991557225584
184108000000.0,Young girl in a party dress looking bored and unhappy,3,0.9832189083099364
44378002368.0,BMW Is Looking Into Gas-Powered Vehicles,1,0.0549543350934982
2386880000000.0,there is also a small laundry with all-in-one washer and dryer,1,0.261753648519516
1460300000000.0,QR Code for Florida Virtual School at local Shell Gas Station,2,0.0585364289581775
179336000000.0,How to get a bobcat out of your window blinds,1,0.4948503673076629
2902680000000.0,Incotex Benson Straight Leg Wool Trousers,2,0.0662185102701187
7299055566.0,FI Week #5 #6 #7 : Let the new digital influencers shine,0,0.0065253125503659
2637370000000.0,1000 ideas about lake house plans on pinterest house for Basement planner online,1,0.0473056174814701
4161950000000.0,"New Years Fireworks in Seattle, 2011->2012",2,0.0183182377368211
2687440000000.0,buy a domain name,0,0.0422002300620079
1339410000000.0,tree with birds and birdcages vector image,3,0.2521201074123382
180519000000.0,"Tate Stevens - Winner of 2012 X Factor, Simon Cowell — Stock Photo",0,0.010540478862822
3389540000000.0,A glass bowl full of yellow cream and red and orange coloured fruit on pink & white background,3,0.9638179540634156
2527530000000.0,A sport fishing boat heading out of Wanchese harbor of the Outer Banks at dawn for a day of off-shore fishing.,2,0.7398384213447571
